player_id,player,pos,nation,born
510,Nélson Semedo,"DF,MF",POR,1993
511,Oskar Buur,DF,DEN,1998
512,Owen Otasowie,"MF,FW",USA,2001
513,Patrick Cutrone,FW,ITA,1998
514,Pedro Neto,"FW,MF",POR,2000
515,Rayan Aït-Nouri,DF,ALG,2001
516,Raúl Jiménez,FW,MEX,1991
517,Romain Saïss,DF,MAR,1990
518,Rui Patrício,GK,POR,1988
519,Rúben Neves,MF,POR,1997
520,Rúben Vinagre,"MF,DF",POR,1999
521,Theo Corbeanu,FW,CAN,2002
522,Vitinha,MF,POR,2000
523,Willian José,FW,BRA,1991
524,Willy Boly,DF,CIV,1991
525,Albert Sambi Lokonga,MF,BEL,1999
526,Folarin Balogun,FW,USA,2001
527,Nuno Tavares,DF,POR,2000
528,Takehiro Tomiyasu,DF,JPN,1998
529,Ashley Young,"DF,FW",ENG,1985
530,Cameron Archer,"FW,MF",ENG,2001
531,Emi Buendía,"MF,FW",ARG,1996
532,Jed Steer,GK,ENG,1992
533,Leon Bailey,"FW,MF",JAM,1997
534,Philippe Coutinho,"MF,FW",BRA,1992
535,Tim Iroegbunam,MF,ENG,2003
536,Bryan Mbeumo,FW,CMR,1999
537,Charlie Goode,DF,ENG,1995
538,Christian Eriksen,MF,DEN,1992
539,Christian Nørgaard,MF,DEN,1994
540,David Raya,GK,ESP,1995
541,Dominic Thompson,DF,ENG,2000
542,Ethan Pinnock,DF,JAM,1993
543,Finley Stevens,DF,WAL,2003
544,Frank Onyeka,MF,NGA,1998
545,Ivan Toney,FW,ENG,1996
546,Jonas Lössl,GK,DEN,1989
547,Josh Dasilva,"MF,FW",ENG,1998
548,Kristoffer Ajer,DF,NOR,1998
549,Mads Bech Sørensen,DF,DEN,1999
550,Mads Bidstrup,MF,DEN,2001
551,Mads Roerslev,DF,DEN,1999
552,Marcus Forss,"FW,MF",FIN,1999
553,Mathias Jensen,MF,DEN,1996
554,Mathias Jørgensen,DF,DEN,1990
555,Nathan Young-Coombes,MF,ENG,2003
556,Pontus Jansson,DF,SWE,1991
557,Rico Henry,DF,ENG,1997
558,Saman Ghoddos,"MF,DF",IRN,1993
559,Sergi Canós,"DF,FW",ESP,1997
560,Shandon Baptiste,MF,GRN,1998
561,Tariqe Fosu,DF,GHA,1995
562,Vitaly Janelt,MF,GER,1998
563,Yoane Wissa,FW,COD,1996
564,Álvaro Fernández,GK,ESP,1998
565,Enock Mwepu,MF,ZAM,1998
566,Evan Ferguson,MF,IRL,2004
567,Jason Steele,GK,ENG,1990
568,Jeremy Sarmiento,"FW,MF",ECU,2002
569,Jürgen Locadia,"MF,FW",CUW,1993
570,Marc Cucurella,DF,ESP,1998
571,Moisés Caicedo,MF,ECU,2001
572,Shane Duffy,DF,IRL,1992
573,Taylor Richards,MF,ENG,2000
574,Aaron Lennon,"MF,FW",ENG,1987
575,Connor Roberts,DF,WAL,1995
576,Maxwel Cornet,"FW,MF",CIV,1996
577,Nathan Collins,DF,IRL,2001
578,Wayne Hennessey,GK,WAL,1987
579,Wout Weghorst,FW,NED,1992
580,Kenedy,DF,BRA,1996
581,Malang Sarr,DF,FRA,1999
582,Romelu Lukaku,FW,BEL,1993
583,Saúl Ñíguez,"DF,MF",ESP,1994
584,Trevoh Chalobah,DF,ENG,1999
585,Jesurun Rak Sakyi,"FW,MF",ENG,2002
586,Marc Guéhi,DF,ENG,2000
587,Michael Olise,"FW,MF",FRA,2001
588,Nathan Ferguson,DF,ENG,2000
589,Odsonne Édouard,FW,FRA,1998
590,Will Hughes,MF,ENG,1995
591,Asmir Begović,GK,BIH,1987
592,Ellis Simms,FW,ENG,2001
593,Isaac Price,MF,NIR,2003
594,Jarrad Branthwaite,DF,ENG,2002
595,Lewis Dobbin,"FW,MF",ENG,2003
596,Salomón Rondón,FW,VEN,1989
597,Tyler Onyango,MF,ENG,2003
598,Vitaliy Mykolenko,DF,UKR,1999
599,Adam Forshaw,MF,ENG,1991
600,Charlie Cresswell,DF,ENG,2002
601,Cody Drameh,"DF,MF",ENG,2001
602,Crysencio Summerville,"MF,FW",NED,2001
603,Joe Gelhardt,"FW,MF",ENG,2002
604,Junior Firpo,"DF,MF",DOM,1996
605,Kristoffer Klaesson,GK,NOR,2000
606,Leo Fuhr Hjelde,"MF,DF",NOR,2003
607,Lewis Bate,MF,ENG,2002
608,Liam McCarron,FW,SCO,2001
609,Sam Greenwood,"MF,FW",ENG,2002
610,Stuart McKinstry,MF,SCO,2002
611,Boubakary Soumaré,MF,FRA,1999
612,Danny Ward,GK,WAL,1993
613,Kasey McAteer,FW,IRL,2001
614,Kiernan Dewsbury-Hall,MF,ENG,1998
615,Lewis Brunt,MF,ENG,2000
616,Patson Daka,FW,ZAM,1998
617,Harvey Elliott,MF,ENG,2003
618,Ibrahima Konaté,DF,FRA,1999
619,Kaide Gordon,FW,ENG,2004
620,Luis Díaz,FW,COL,1997
621,Tyler Morton,MF,ENG,2002
622,CJ Egan-Riley,DF,ENG,2003
623,Cole Palmer,"FW,MF",ENG,2002
624,James Mcatee,"MF,FW",ENG,2002
625,Kayky Chagas,FW,BRA,2003
626,Alejandro Garnacho,"FW,MF",ARG,2004
627,Cristiano Ronaldo,FW,POR,1985
628,Diogo Dalot,DF,POR,1999
629,Jadon Sancho,"FW,MF",ENG,2000
630,Phil Jones,DF,ENG,1992
631,Raphaël Varane,DF,FRA,1993
632,Bruno Guimarães,MF,BRA,1997
633,Freddie Woodman,GK,ENG,1997
634,Kieran Trippier,DF,ENG,1990
635,Adam Idah,"FW,MF",IRL,2001
636,Andrew Omobamidele,DF,IRL,2002
637,Angus Gunn,GK,SCO,1996
638,Bali Mumba,DF,ENG,2001
