season,game_id,team_id,player_id,min_played,goals,assists,penalty_made,penalty_attempted,shots,shots_on_target,yellow_cards,red_cards,touches,tackles,interceptions,blocks,shot_creating_actions,goal_creating_actions,passes_completed,passes_attempted,pass_completion_percent,progressive_passes,carries,progressive_carries,take_ons_attempted,take_ons_successful
2021,20,19453,55,90,0,0,0,0,1,1,0,0,58,1,2,0,0,0,42,51,82.4,1,44,1,0,0
2021,20,19453,57,16,0,1,0,0,1,0,1,0,19,0,0,1,5,1,15,17,88.2,3,16,0,1,1
2021,20,19453,59,90,0,0,0,0,0,0,1,0,73,2,2,1,2,0,60,66,90.9,7,55,2,1,1
2021,20,19453,68,90,0,0,0,0,4,1,1,0,48,0,0,0,4,0,26,41,63.4,7,35,2,3,2
2021,20,19453,69,90,0,0,0,0,0,0,1,0,71,0,1,1,0,0,59,65,90.8,2,57,1,0,0
2021,20,19453,17,90,0,0,0,0,0,0,0,0,40,0,0,0,0,0,31,40,77.5,0,28,0,0,0
2021,20,19453,70,90,1,0,1,1,3,1,0,0,47,0,0,1,5,0,24,36,66.7,3,22,1,4,3
2021,20,19453,71,16,0,0,0,0,1,0,0,0,21,0,0,0,1,0,16,20,80.0,7,14,1,0,0
2021,20,19453,75,90,1,0,0,0,5,1,0,0,80,4,2,3,6,0,47,66,71.2,4,52,4,8,7
2021,20,19453,76,90,0,0,0,0,1,0,0,0,63,4,2,0,5,1,47,51,92.2,4,50,0,6,4
2021,20,19453,77,90,0,0,0,0,0,0,0,0,53,1,2,2,2,1,36,43,83.7,4,38,3,3,2
2021,20,18656,312,90,0,0,0,0,0,0,0,0,58,3,2,3,0,0,38,43,88.4,0,32,0,2,0
2021,20,18656,316,89,0,0,0,0,1,0,0,0,31,0,0,0,0,0,19,23,82.6,1,21,3,3,2
