,player,pos,nation,born
313,Scott Carson,GK,ENG,1985
314,Sergio Agüero,FW,ARG,1988
315,Zack Steffen,GK,USA,1995
316,İlkay Gündoğan,MF,GER,1990
317,Aaron Wan-Bissaka,DF,COD,1997
318,Alex Telles,DF,BRA,1992
319,Amad Diallo,FW,CIV,2002
320,Anthony Elanga,FW,SWE,2002
321,Anthony Martial,FW,FRA,1995
322,Axel Tuanzebe,DF,COD,1997
323,Brandon Williams,DF,ENG,2000
324,Bruno Fernandes,MF,POR,1994
325,Daniel James,FW,WAL,1997
326,David de Gea,GK,ESP,1990
327,Dean Henderson,GK,ENG,1997
328,Donny van de Beek,"MF,FW",NED,1997
329,Edinson Cavani,FW,URU,1987
330,Eric Bailly,DF,CIV,1994
331,Fred,MF,BRA,1993
332,Hannibal Mejbri,MF,TUN,2003
333,Harry Maguire,DF,ENG,1993
334,Juan Mata,"FW,MF",ESP,1988
335,Luke Shaw,DF,ENG,1995
336,Marcus Rashford,FW,ENG,1997
337,Mason Greenwood,FW,ENG,2001
338,Nemanja Matić,MF,SRB,1988
339,Odion Ighalo,FW,NGA,1989
340,Paul Pogba,"MF,FW",FRA,1993
341,Scott McTominay,MF,SCO,1996
342,Shola Shoretire,FW,ENG,2004
343,Timothy Fosu-Mensah,DF,NED,1998
344,Victor Lindelöf,DF,SWE,1994
345,Will Fish,FW,ENG,2003
346,Allan Saint-Maximin,"FW,MF",FRA,1997
347,Andy Carroll,FW,ENG,1989
348,Callum Wilson,FW,ENG,1992
349,Ciaran Clark,DF,IRL,1989
350,DeAndre Yedlin,DF,USA,1993
351,Dwight Gayle,"FW,MF",ENG,1990
352,Elliot Anderson,MF,ENG,2002
353,Emil Krafth,DF,SWE,1994
354,Fabian Schär,DF,SUI,1991
355,Federico Fernández,DF,ARG,1989
356,Isaac Hayden,"MF,DF",JAM,1995
357,Jacob Murphy,"DF,MF",ENG,1995
358,Jamaal Lascelles,DF,ENG,1993
359,Jamal Lewis,DF,NIR,1998
360,Javier Manquillo,DF,ESP,1994
361,Jeff Hendrick,MF,IRL,1992
363,Joelinton,"FW,MF",BRA,1996
364,Jonjo Shelvey,MF,ENG,1992
365,Karl Darlow,GK,WAL,1990
366,Martin Dúbravka,GK,SVK,1989
367,Matt Ritchie,"DF,MF",SCO,1989
368,Matthew Longstaff,MF,ENG,2000
369,Miguel Almirón,"MF,FW",PAR,1994
370,Paul Dummett,DF,WAL,1991
371,Ryan Fraser,"FW,MF",SCO,1994
372,Sean Longstaff,MF,ENG,1997
373,Aaron Ramsdale,GK,ENG,1998
374,Antwoine Hackford,DF,ENG,2004
375,Ben Osborn,"MF,DF",ENG,1994
376,Billy Sharp,FW,ENG,1986
377,Chris Basham,"DF,MF",ENG,1988
378,Daniel Jebbison,FW,CAN,2003
379,David McGoldrick,"FW,MF",IRL,1987
380,Enda Stevens,DF,IRL,1990
381,Ethan Ampadu,"DF,MF",WAL,2000
382,Femi Seriki,MF,ENG,2002
383,George Baldock,DF,GRE,1993
384,Iliman Ndiaye,MF,SEN,2000
385,Jack O'Connell,DF,ENG,1994
386,Jack Robinson,DF,ENG,1993
387,Jayden Bogle,"DF,MF",ENG,2000
388,John Egan,DF,IRL,1992
389,John Fleck,MF,SCO,1991
390,John Lundstram,MF,ENG,1994
